ID,Date,Lat,Lon,Temp,U,V,S,varLat,varLon,varTemp
71020,50.25,-42.757,227.55,11.465,-30.679,-38.42,49.166,7.9319e-06,5.9044e-06,0.0015046
71020,50.5,-42.836,227.47,11.365,-25.321,-42.682,49.628,5.0669e-06,5.1437e-06,0.0015604
71020,50.75,-42.922,227.42,11.305,-2.456,-34.942,35.029,3.4581e-06,4.9481e-06,0.0015591
71020,51,-42.972,227.46,11.373,3.169,-19.675,19.929,1.0753e-05,7.8235e-06,0.0015591
71020,51.25,-42.999,227.44,11.345,-11.126,-28.712,30.793,9.2139e-06,7.246e-06,0.0015584
71020,51.5,-43.084,227.4,11.382,-7.79,-40.593,41.334,2.8143e-06,4.6835e-06,0.0015588
71020,51.75,-43.157,227.4,11.444,-8.356,-32.632,33.685,4.7034e-06,5.4361e-06,0.0016946
71020,52,-43.21,227.35,11.484,-8.835,-45,45.859,8.5179e-06,6.4233e-06,0.0015591
71020,52.25,-43.332,227.35,11.444,12.006,-48.767,50.223,3.7953e-06,5.1057e-06,0.0015578
71020,52.5,-43.4,227.42,11.425,19.881,-25.264,32.149,1.7736e-06,2.8672e-06,0.0016866
71020,52.75,-43.43,227.45,11.438,20.219,-22.085,29.943,7.0792e-06,6.1261e-06,0.0015608
71020,53,-43.486,227.53,11.5,36.159,-21.475,42.055,7.2676e-06,6.1636e-06,0.0016939
71020,53.25,-43.513,227.65,11.482,41.517,-14.372,43.934,5.4937e-06,5.8634e-06,0.0015591
71020,53.5,-43.542,227.75,11.373,38.733,-20.957,44.039,5.7166e-06,4.8992e-06,0.0015591
71020,53.75,-43.595,227.85,11.338,36.328,-23.175,43.091,7.0615e-06,5.7242e-06,0.0015604
71020,54,-43.632,227.94,11.342,29.68,-20.665,36.165,5.0575e-06,5.5484e-06,0.0015591
71020,54.25,-43.675,228.01,11.313,28.286,-26.138,38.513,5.6993e-06,5.7861e-06,0.0015608
71020,54.5,-43.733,228.09,11.381,14.638,-26.255,30.06,3.2817e-06,3.5238e-06,0.0016928
71020,54.75,-43.777,228.09,11.439,-1.431,-30.255,30.288,5.8422e-06,5.1113e-06,0.0016869
71020,55,-43.851,228.09,11.485,24.648,-21.899,32.971,4.6371e-06,4.3252e-06,0.0016998
71020,55.25,-43.862,228.22,11.385,43.874,8.72,44.732,6.5459e-06,5.1957e-06,0.0016923
71020,55.5,-43.817,228.32,11.249,24.542,4.882,25.022,2.7496e-06,3.7304e-06,0.0015591
71020,55.75,-43.843,228.36,11.265,19.284,-14.092,23.884,9.6081e-06,6.9362e-06,0.0015576
71020,56,-43.871,228.43,11.265,24.522,-4.147,24.87,2.8352e-06,3.6414e-06,0.0016931
71020,56.25,-43.859,228.49,11.209,23.089,0.227,23.09,4.2637e-06,4.0824e-06,0.0015247
71020,56.5,-43.87,228.55,11.036,28.859,4.041,29.141,6.4624e-06,5.2477e-06,0.0016315
71020,56.75,-43.843,228.64,10.843,22.735,15.241,27.371,4.003e-06,3.8566e-06,0.0015604
71020,57,-43.811,228.67,11.013,1.774,11.013,11.155,7.0074e-06,6.325e-06,0.0015608
71020,57.25,-43.8,228.65,11.172,-11.288,-1.213,11.353,9.8514e-06,7.1077e-06,0.0016943
71020,57.5,-43.816,228.61,11.226,-2.997,-17.082,17.343,9.2189e-06,6.8493e-06,0.0016943
71020,57.75,-43.867,228.64,11.048,21.273,-20.516,29.554,4.3212e-06,4.0843e-06,0.0016943
71020,58,-43.895,228.73,10.524,8.938,-15.795,18.148,8.3919e-06,6.6998e-06,0.0016928
71020,58.25,-43.928,228.69,10.425,-3.218,-30.528,30.697,4.4314e-06,4.2286e-06,0.0016963
71020,58.5,-44.014,228.71,10.385,19.269,-33.397,38.557,6.3739e-06,5.3159e-06,0.0016917
71020,58.75,-44.058,228.79,10.239,25.251,-22.428,33.773,1.0027e-05,7.2887e-06,0.0016951
71020,59,-44.101,228.84,10.518,22.64,-9.341,24.492,7.7394e-06,5.6407e-06,0.0016943
71020,59.25,-44.094,228.91,10.705,15.312,6.72,16.722,8.6266e-06,6.1533e-06,0.0016943
71020,59.5,-44.075,228.93,10.656,4.866,3.867,6.215,4.6744e-06,4.9719e-06,0.0016956
71020,59.75,-44.079,228.94,10.625,1.991,2.406,3.123,6.6163e-06,6.2949e-06,0.0016932
71020,60,-44.066,228.94,10.596,-8.199,9.061,12.22,7.3015e-06,5.3631e-06,0.0016943
71020,60.25,-44.044,228.89,10.335,-10.408,8.695,13.562,9.2862e-06,6.4894e-06,0.0016923
71020,60.5,-44.032,228.88,10.478,5.598,12.373,13.58,2.263e-06,3.2375e-06,0.0016943
71020,60.75,-43.996,228.92,10.612,9.525,18.704,20.989,2.4697e-06,3.7119e-06,0.0016943
71020,61,-43.959,228.93,10.539,1.033,15.987,16.021,9.7375e-06,6.8617e-06,0.0016943
71020,61.25,-43.934,228.93,10.406,0.648,11.251,11.27,4.6415e-06,5.3082e-06,0.0016952
71020,61.5,-43.915,228.94,10.381,-1.374,6.86,6.996,3.9256e-06,4.5043e-06,0.0016929
71020,61.75,-43.907,228.92,10.384,-1.986,-3.662,4.166,6.6249e-06,6.1782e-06,0.0016943
71020,62,-43.93,228.93,10.419,7.125,-5.354,8.912,2.6089e-06,4.361e-06,0.0016956
71020,62.25,-43.928,228.96,10.407,9.406,0.434,9.416,3.2471e-06,4.884e-06,0.0016912
71020,62.5,-43.928,228.98,10.401,11.583,-1.132,11.639,4.1171e-06,3.938e-06,0.0015599
71020,62.75,-43.932,229.02,10.44,14.92,-1.232,14.97,1.0065e-05,7.3216e-06,0.0016912
71020,63,-43.933,229.06,10.591,6.639,2.982,7.278,1.2437e-05,9.0607e-06,0.0016943
71020,63.25,-43.921,229.06,10.524,-4.552,7.634,8.888,8.9447e-06,7.089e-06,0.0016936
71020,63.5,-43.903,229.03,10.351,-6.625,20.81,21.839,2.2985e-06,3.7256e-06,0.0016925
